support,itemsets,itemset_len
0.0012091898428053204,"frozenset({'CH:UCBi2mrWuNuyYy4gbM6fU18Q', 'CH:UC2x_qNZXKDxNP1j4jvHATRQ', 'CH:UCVuFPbAjTi3mqpH-0veJRWg'})",3
0.0012091898428053204,"frozenset({'CH:UCH1oRy1dINbMVp3UFWrKP0w', 'CH:UC2x_qNZXKDxNP1j4jvHATRQ', 'CH:UCVuFPbAjTi3mqpH-0veJRWg'})",3
0.0012091898428053204,"frozenset({'CH:UCH1oRy1dINbMVp3UFWrKP0w', 'CH:UC_vFLohxs5PkAxlk7Y6jEtw', 'CH:UC2x_qNZXKDxNP1j4jvHATRQ'})",3
0.0012091898428053204,"frozenset({'CH:UC_vFLohxs5PkAxlk7Y6jEtw', 'CH:UC2x_qNZXKDxNP1j4jvHATRQ', 'CH:UCknLrEdhRCp1aegoMqRaCZg'})",3
0.0012091898428053204,"frozenset({'CH:UCeY0bbntWzzVIaj2z3QigXg', 'CH:UC2x_qNZXKDxNP1j4jvHATRQ', 'CH:UCuFFtHWoLl5fauMMD5Ww2jA'})",3
0.0012091898428053204,"frozenset({'CH:UCeY0bbntWzzVIaj2z3QigXg', 'CH:UC52X5wxOL_s5yw0dQk7NtgA', 'CH:UC5T7D-Dh1eDGtsAFCuwv_Sw'})",3
0.0012091898428053204,"frozenset({'CH:UC52X5wxOL_s5yw0dQk7NtgA', 'CH:UC5T7D-Dh1eDGtsAFCuwv_Sw', 'CH:UCuFFtHWoLl5fauMMD5Ww2jA'})",3
0.0012091898428053204,"frozenset({'CH:UCaXkIU1QidjPwiAYu6GcHjg', 'CH:UC52X5wxOL_s5yw0dQk7NtgA', 'CH:UC9k-yiEpRHMNVOnOi_aQK8w'})",3
0.0012091898428053204,"frozenset({'CH:UCoMdktPbSTixAyNGwb-UYkQ', 'CH:UC9k-yiEpRHMNVOnOi_aQK8w', 'CH:UC52X5wxOL_s5yw0dQk7NtgA'})",3
0.0012091898428053204,"frozenset({'CH:UC52X5wxOL_s5yw0dQk7NtgA', 'CH:UCIRYBXDze5krPDzAEOxFGVA', 'CH:UCBi2mrWuNuyYy4gbM6fU18Q'})",3
0.0012091898428053204,"frozenset({'CH:UC52X5wxOL_s5yw0dQk7NtgA', 'CH:UCBi2mrWuNuyYy4gbM6fU18Q', 'CH:UCP6HGa63sBC7-KHtkme-p-g'})",3
0.0012091898428053204,"frozenset({'CH:UC52X5wxOL_s5yw0dQk7NtgA', 'CH:UCupvZG-5ko_eiXAupbDfxWw', 'CH:UCBi2mrWuNuyYy4gbM6fU18Q'})",3
0.0012091898428053204,"frozenset({'CH:UC52X5wxOL_s5yw0dQk7NtgA', 'CH:UCNZyLULUQBp5e9Q1cKtvk6Q', 'CH:UCCjG8NtOig0USdrT5D1FpxQ'})",3
0.0012091898428053204,"frozenset({'CH:UC52X5wxOL_s5yw0dQk7NtgA', 'CH:UCupvZG-5ko_eiXAupbDfxWw', 'CH:UCIRYBXDze5krPDzAEOxFGVA'})",3
0.0012091898428053204,"frozenset({'CH:UC52X5wxOL_s5yw0dQk7NtgA', 'CH:UCME81PohuzT1JMCsEtvsD2w', 'CH:UCPgLNge0xqQHWM5B5EFH9Cg'})",3
0.0012091898428053204,"frozenset({'CH:UCrvhNP_lWuPIP6QZzJmM-bw', 'CH:UC52X5wxOL_s5yw0dQk7NtgA', 'CH:UCME81PohuzT1JMCsEtvsD2w'})",3
0.0012091898428053204,"frozenset({'CH:UC52X5wxOL_s5yw0dQk7NtgA', 'CH:UC__2_0RJ8XnHt2angfw6S1Q', 'CH:UCO0akufu9MOzyz3nvGIXAAw'})",3
0.0012091898428053204,"frozenset({'CH:UCrvhNP_lWuPIP6QZzJmM-bw', 'CH:UC52X5wxOL_s5yw0dQk7NtgA', 'CH:UCPgLNge0xqQHWM5B5EFH9Cg'})",3
0.0012091898428053204,"frozenset({'CH:UCQfwfsi5VrQ8yKZ-UWmAEFg', 'CH:UC52X5wxOL_s5yw0dQk7NtgA', 'CH:UCXIJgqnII2ZOINSWNOGFThA'})",3
0.0012091898428053204,"frozenset({'CH:UCaXkIU1QidjPwiAYu6GcHjg', 'CH:UC52X5wxOL_s5yw0dQk7NtgA', 'CH:UC_vFLohxs5PkAxlk7Y6jEtw'})",3
0.0012091898428053204,"frozenset({'CH:UCaXkIU1QidjPwiAYu6GcHjg', 'CH:UCoMdktPbSTixAyNGwb-UYkQ', 'CH:UC52X5wxOL_s5yw0dQk7NtgA'})",3
0.0012091898428053204,"frozenset({'CH:UCeY0bbntWzzVIaj2z3QigXg', 'CH:UC52X5wxOL_s5yw0dQk7NtgA', 'CH:UCuFFtHWoLl5fauMMD5Ww2jA'})",3
